행정코드,행정동명,상권업종소분류명,상권업종소분류코드,점포수,매출
2614052000,동대신2동,국수/칼국수,I20105,1,9020000
2614052000,동대신2동,냉면/밀면,I20106,1,28530000
2614052000,동대신2동,돼지고기 구이/찜,I20107,6,38830000
2614052000,동대신2동,소고기 구이/찜,I20108,2,17280000
2614052000,동대신2동,곱창 전골/구이,I20109,,22290000
2614052000,동대신2동,닭/오리 고기 구이/찜,I20110,1,16020000
2614052000,동대신2동,횟집,I20111,7,18020000
2614052000,동대신2동,해산물 구이/찜,I20112,6,10960000
2614052000,동대신2동,복 요리 전문,I20113,,
2614052000,동대신2동,기타 한식 음식점,I20199,,
2614052000,동대신2동,중국집,I20201,2,13940000
2614052000,동대신2동,마라탕/훠궈,I20202,,
2614052000,동대신2동,일식 회/초밥,I20301,2,25840000
2614052000,동대신2동,일식 카레/돈가스/덮밥,I20302,2,
2614052000,동대신2동,일식 면 요리,I20303,,
2614052000,동대신2동,기타 일식 음식점,I20399,,
2614052000,동대신2동,경양식,I20401,3,9690000
2614052000,동대신2동,파스타/스테이크,I20402,,
2614052000,동대신2동,패밀리레스토랑,I20403,,
2614052000,동대신2동,기타 서양식 음식점,I20499,,
2614052000,동대신2동,베트남식 전문,I20501,1,
2614052000,동대신2동,기타 동남아식 전문,I20599,,
2614052000,동대신2동,구내식당,I20701,,
2614052000,동대신2동,뷔페,I20702,,
2614052000,동대신2동,빵/도넛,I21001,4,17560000
2614052000,동대신2동,떡/한과,I21002,2,
2614052000,동대신2동,피자,I21003,3,8680000
2614052000,동대신2동,버거,I21004,,21890000
2614052000,동대신2동,토스트/샌드위치/샐러드,I21005,,
2614052000,동대신2동,치킨,I21006,7,8250000
2614052000,동대신2동,김밥/만두/분식,I21007,9,21890000
2614052000,동대신2동,아이스크림/빙수,I21008,,21890000
2614052000,동대신2동,그 외 기타 간이 음식점,I21099,2,5570000
2614052000,동대신2동,일반 유흥주점,I21101,1,10770000
2614052000,동대신2동,무도 유흥주점,I21102,,
2614052000,동대신2동,생맥주 전문,I21103,3,16790000
2614052000,동대신2동,요리주점,I21104,5,10110000
2614052000,동대신2동,카페,I21201,15,23890000
2614053000,동대신3동,백반/한정식,I20101,24,15570000
2614053000,동대신3동,국/탕/찌개류,I20102,4,11100000
2614053000,동대신3동,족발/보쌈,I20103,2,9220000
2614053000,동대신3동,전/부침개,I20104,,
2614053000,동대신3동,국수/칼국수,I20105,7,12550000
2614053000,동대신3동,냉면/밀면,I20106,1,30330000
2614053000,동대신3동,돼지고기 구이/찜,I20107,3,25650000
2614053000,동대신3동,소고기 구이/찜,I20108,,
2614053000,동대신3동,곱창 전골/구이,I20109,,
2614053000,동대신3동,닭/오리 고기 구이/찜,I20110,1,10250000
2614053000,동대신3동,횟집,I20111,4,17130000
2614053000,동대신3동,해산물 구이/찜,I20112,4,11940000
2614053000,동대신3동,복 요리 전문,I20113,,
2614053000,동대신3동,기타 한식 음식점,I20199,,
2614053000,동대신3동,중국집,I20201,8,12190000
2614053000,동대신3동,마라탕/훠궈,I20202,2,14160000
2614053000,동대신3동,일식 회/초밥,I20301,2,27610000
2614053000,동대신3동,일식 카레/돈가스/덮밥,I20302,1,10420000
2614053000,동대신3동,일식 면 요리,I20303,1,6650000
2614053000,동대신3동,기타 일식 음식점,I20399,,
2614053000,동대신3동,경양식,I20401,3,8510000
2614053000,동대신3동,파스타/스테이크,I20402,,
2614053000,동대신3동,패밀리레스토랑,I20403,,
2614053000,동대신3동,기타 서양식 음식점,I20499,,
2614053000,동대신3동,베트남식 전문,I20501,,
2614053000,동대신3동,기타 동남아식 전문,I20599,,
2614053000,동대신3동,구내식당,I20701,1,681700000
2614053000,동대신3동,뷔페,I20702,,
2614053000,동대신3동,빵/도넛,I21001,8,18250000
2614053000,동대신3동,떡/한과,I21002,2,8000000
2614053000,동대신3동,피자,I21003,2,11140000
2614053000,동대신3동,버거,I21004,4,33460000
2614053000,동대신3동,토스트/샌드위치/샐러드,I21005,1,7530000
2614053000,동대신3동,치킨,I21006,12,7090000
2614053000,동대신3동,김밥/만두/분식,I21007,9,33460000
2614053000,동대신3동,아이스크림/빙수,I21008,1,33460000
2614053000,동대신3동,그 외 기타 간이 음식점,I21099,,
2614053000,동대신3동,일반 유흥주점,I21101,,
